UserID,SurveyID,SurveyType,ResponseTime,ResponseDateTime,Rating,SurveyTitle,Keywords
U294,S0145,Agriculture,33,2024-08-31 10:17:38,5,Pest Control,"hair, trade, any"
U146,S0146,Business/Marketing,48,2024-07-22 03:53:18,2,Brand Awareness,"act, hold, reduce"
U031,S0147,Environment,49,2024-11-02 02:08:31,5,Climate Change Impact,"month, drop, line"
U086,S0148,Healthcare,51,2024-09-17 03:35:31,3,Mental Health,"rise, sing, create"
U129,S0149,Education,27,2023-12-29 22:55:02,4,Curriculum Effectiveness,"at, against, travel"
U106,S0150,Environment,60,2024-03-16 23:27:36,4,Climate Change Impact,"join, and, future"
U084,S0151,Education,38,2024-07-21 05:55:01,2,Learning Methods,"and, bad, many"
U049,S0152,Education,41,2024-07-31 10:00:17,1,Student Engagement,"science, staff, process"
U210,S0153,Education,21,2024-09-13 09:39:55,5,Student Engagement,"hold, organization, simple"
U006,S0154,Business/Marketing,18,2024-06-11 04:46:35,4,Product Feedback,"president, general, development"
U058,S0155,Business/Marketing,34,2024-02-28 22:11:20,5,Market Trends,"blood, air, look"
U216,S0156,Education,46,2024-11-14 15:10:30,2,Teacher Feedback,"maybe, so, rich"
U249,S0157,Healthcare,13,2024-11-30 22:45:59,3,Patient Satisfaction,"or, power, blood"
U209,S0158,Information Technology,26,2024-05-27 00:01:52,4,AI Adoption,"he, size, heart"
U201,S0159,Environment,54,2023-12-22 00:51:55,5,Climate Change Impact,"example, help, personal"
U013,S0160,Healthcare,14,2024-11-06 18:19:38,2,Public Health Awareness,"attention, event, itself"
U268,S0161,Information Technology,42,2024-01-05 04:12:03,3,Software Engineering,"card, close, follow"
U113,S0162,Information Technology,21,2024-02-18 09:29:15,3,Machine Learning,"hair, history, sign"
U005,S0163,Healthcare,40,2024-10-26 20:31:46,5,Mental Health,"degree, pattern, every"
U192,S0164,Agriculture,45,2024-03-11 11:26:38,1,Pest Control,"service, Democrat, debate"
U206,S0165,Healthcare,50,2024-06-03 22:43:21,4,Treatment Outcomes,"important, find, team"
U222,S0166,Business/Marketing,15,2024-02-07 10:18:20,3,Product Feedback,"character, recognize, practice"
U181,S0167,Agriculture,15,2024-11-09 19:40:43,3,Farming Techniques,"people, young, dog"
U216,S0168,Business/Marketing,5,2024-04-14 19:06:51,4,Consumer Behavior,"machine, point, wall"
U291,S0169,Automobile,23,2024-01-22 18:45:32,2,Customer Preferences,"idea, whose, piece"
U062,S0170,Social Science,57,2024-10-27 08:19:13,5,Cultural Studies,"scene, star, necessary"
U162,S0171,Automobile,14,2024-05-11 17:32:03,2,Electric Vehicle Adoption,"develop, alone, eye"
U131,S0172,Automobile,54,2024-05-03 09:37:45,4,Safety Features,"effect, marriage, story"
U219,S0173,Environment,24,2024-03-14 15:23:27,2,Sustainability Practices,"pressure, gun, red"
U234,S0174,Environment,60,2024-11-06 21:12:09,3,Renewable Energy,"capital, character, source"
U033,S0175,Education,26,2024-11-14 06:31:17,1,Teacher Feedback,"base, loss, game"
U103,S0176,Healthcare,53,2024-02-15 15:18:36,3,Public Health Awareness,"heart, national, north"
U068,S0177,Healthcare,33,2024-05-01 14:49:45,4,Patient Satisfaction,"officer, include, get"
U079,S0178,Business/Marketing,48,2024-04-07 09:49:05,3,Consumer Behavior,"senior, develop, ability"
U029,S0179,Business/Marketing,8,2024-03-31 04:15:19,5,Market Trends,"form, mean, radio"
U196,S0180,Information Technology,41,2024-09-16 00:08:45,1,Software Usability,"response, ok, color"
U290,S0181,Information Technology,12,2024-02-27 22:26:09,5,Software Engineering,"today, pressure, training"
U219,S0182,Social Science,48,2024-04-22 02:48:05,1,Community Development,"test, investment, others"
U258,S0183,Information Technology,57,2024-04-26 15:02:43,3,Cybersecurity Awareness,"fall, bar, red"
U272,S0184,Healthcare,11,2023-12-30 23:43:58,1,Public Health Awareness,"thus, exactly, garden"
U027,S0185,Automobile,46,2024-10-24 13:23:55,4,Customer Preferences,"first, effort, poor"
U110,S0186,Automobile,45,2024-08-19 13:07:33,3,Safety Features,"tree, wall, event"
U241,S0187,Automobile,43,2024-06-01 17:57:01,3,Fuel Efficiency,"painting, least, late"
U164,S0188,Education,59,2024-06-12 01:23:20,1,Curriculum Effectiveness,"catch, price, news"
U112,S0189,Agriculture,19,2024-04-10 07:41:52,5,Soil Health,"miss, clear, understand"
U061,S0190,Healthcare,5,2023-12-27 14:23:00,4,Mental Health,"nothing, money, arm"
U032,S0191,Information Technology,24,2024-11-30 04:01:51,4,Software Engineering,"spend, capital, lead"
U168,S0192,Business/Marketing,36,2024-03-14 13:46:35,3,Product Feedback,"inside, significant, again"
U044,S0193,Information Technology,7,2024-02-21 02:07:04,1,Software Engineering,"event, edge, thus"
U045,S0194,Healthcare,11,2023-12-28 00:03:09,5,Mental Health,"whether, far, car"
U159,S0195,Business/Marketing,54,2023-12-14 04:57:04,1,Brand Awareness,"past, reason, cultural"
U167,S0196,Information Technology,16,2024-05-02 18:53:32,5,Cybersecurity Awareness,"tell, suggest, live"
U090,S0197,Agriculture,13,2024-09-11 14:11:14,1,Soil Health,"range, table, same"
U030,S0198,Automobile,25,2024-03-08 13:24:04,1,Safety Features,"work, state, appear"
U163,S0199,Automobile,52,2024-08-20 18:25:49,5,Fuel Efficiency,"activity, Democrat, firm"
U008,S0200,Environment,13,2024-07-30 15:05:39,1,Sustainability Practices,"baby, stuff, subject"
U280,S0201,Social Science,5,2024-09-29 23:39:53,1,Social Behavior,"job, similar, alone"
U213,S0202,Environment,12,2024-11-28 22:00:50,2,Sustainability Practices,"across, themselves, unit"
U231,S0203,Healthcare,35,2024-05-31 21:37:45,1,Public Health Awareness,"law, play, strategy"
U151,S0204,Information Technology,33,2024-09-15 14:04:23,3,Cybersecurity,"religious, management, simply"
U275,S0205,Healthcare,31,2024-08-18 13:40:16,1,Patient Satisfaction,"wall, police, international"
U019,S0206,Social Science,38,2024-09-26 23:35:26,4,Social Behavior,"two, state, condition"
U006,S0207,Healthcare,10,2024-05-26 01:25:01,5,Patient Satisfaction,"clearly, fish, these"
U011,S0208,Healthcare,20,2024-01-05 23:27:57,5,Mental Health,"job, true, she"
U030,S0209,Education,10,2024-05-13 01:32:47,4,Curriculum Effectiveness,"sell, remember, size"
U023,S0210,Agriculture,59,2023-12-13 14:56:27,1,Soil Health,"thought, too, west"
U184,S0211,Agriculture,54,2024-03-31 06:13:52,2,Pest Control,"modern, edge, fund"
U046,S0212,Automobile,47,2024-01-03 10:15:42,4,Safety Features,"billion, marriage, have"
U016,S0213,Healthcare,7,2024-06-13 17:57:57,5,Patient Satisfaction,"little, statement, remember"
U098,S0214,Automobile,14,2024-02-17 06:48:26,2,Electric Vehicle Adoption,"ok, by, easy"
U037,S0215,Healthcare,59,2024-07-27 22:27:58,3,Mental Health,"plant, raise, animal"
U095,S0216,Automobile,48,2023-12-28 20:04:53,5,Customer Preferences,"go, person, situation"
U055,S0217,Healthcare,43,2024-10-22 13:10:00,5,Public Health Awareness,"her, page, start"
U186,S0218,Education,34,2024-09-08 09:00:17,2,Student Engagement,"key, modern, large"
U105,S0219,Information Technology,26,2024-01-05 14:40:10,2,Cybersecurity Awareness,"us, else, capital"
U130,S0220,Social Science,12,2024-12-08 15:05:03,4,Social Behavior,"tell, book, far"
U117,S0221,Agriculture,39,2024-03-29 12:07:30,1,Farming Techniques,"shake, protect, want"
U144,S0222,Healthcare,39,2024-05-16 08:27:09,1,Patient Satisfaction,"suddenly, several, anything"
U111,S0223,Information Technology,58,2024-07-24 18:43:46,5,Artificial Intelligence,"place, center, fall"
U117,S0224,Environment,6,2024-04-21 19:13:23,2,Climate Change Impact,"issue, action, side"
U148,S0225,Agriculture,46,2024-10-08 22:34:16,5,Pest Control,"natural, director, return"
U248,S0226,Business/Marketing,56,2024-05-21 20:07:49,4,Consumer Behavior,"instead, hear, station"
U075,S0227,Environment,57,2024-01-10 14:19:23,3,Climate Change Impact,"under, land, their"
U059,S0228,Healthcare,24,2024-06-03 12:14:46,3,Patient Satisfaction,"civil, because, education"
U016,S0229,Social Science,48,2024-05-19 14:33:49,5,Social Behavior,"bar, decade, decision"
U084,S0230,Education,58,2024-01-24 18:29:13,3,Learning Methods,"such, develop, society"
U186,S0231,Education,39,2024-03-20 08:44:38,1,Learning Methods,"visit, itself, sport"
U028,S0232,Automobile,29,2024-07-23 14:35:27,2,Fuel Efficiency,"local, green, born"
U204,S0233,Healthcare,28,2024-09-07 22:14:41,5,Patient Satisfaction,"meeting, parent, simple"
U079,S0234,Business/Marketing,33,2024-10-09 11:51:46,2,Market Trends,"move, about, available"
U187,S0235,Information Technology,5,2024-01-11 01:32:51,1,Software Engineering,"piece, pass, some"
U198,S0236,Environment,22,2024-03-17 01:41:59,4,Sustainability Practices,"hear, talk, speak"
U281,S0237,Social Science,50,2024-05-20 11:35:03,2,Cultural Studies,"girl, defense, leg"
U228,S0238,Social Science,7,2024-06-10 06:19:16,1,Public Opinion,"evidence, magazine, thought"
U087,S0239,Education,7,2023-12-21 02:55:18,5,Learning Methods,"week, cell, idea"
U118,S0240,Agriculture,39,2024-02-02 07:01:15,3,Farming Techniques,"old, industry, dog"
U088,S0241,Business/Marketing,36,2024-07-19 09:58:37,3,Product Feedback,"series, ahead, lose"
U231,S0242,Automobile,27,2024-11-01 06:19:19,5,Fuel Efficiency,"crime, change, live"
U212,S0243,Social Science,28,2024-12-07 23:24:48,1,Community Development,"available, doctor, court"
U295,S0244,Agriculture,33,2024-04-22 15:40:15,5,Farming Techniques,"reveal, official, change"
U041,S0245,Business/Marketing,35,2024-03-25 02:30:11,1,Product Feedback,"play, likely, risk"
U086,S0246,Business/Marketing,5,2024-07-31 19:55:41,3,Product Feedback,"poor, phone, surface"
U032,S0247,Automobile,57,2024-04-16 02:33:08,3,Fuel Efficiency,"over, current, meet"
U090,S0248,Environment,38,2024-11-27 23:26:00,1,Waste Management,"address, believe, purpose"
U094,S0249,Social Science,37,2024-05-15 09:25:00,5,Cultural Studies,"age, weight, force"
U174,S0250,Environment,46,2024-04-26 08:42:47,2,Renewable Energy,"be, away, record"
U002,S0251,Social Science,59,2024-12-06 08:19:35,5,Community Development,"hair, page, degree"
U164,S0252,Social Science,50,2024-01-22 00:08:18,2,Cultural Studies,"half, stop, most"
U276,S0253,Social Science,35,2024-02-28 03:09:58,5,Social Behavior,"next, begin, program"
U252,S0254,Agriculture,36,2024-07-10 20:10:49,5,Crop Yield Methods,"field, rule, billion"
U147,S0255,Information Technology,59,2024-09-03 12:00:29,2,Artificial Intelligence,"rule, compare, someone"
U112,S0256,Automobile,13,2023-12-22 11:12:48,4,Fuel Efficiency,"probably, yeah, her"
U152,S0257,Education,53,2024-11-16 17:56:35,3,Curriculum Effectiveness,"stage, set, site"
U281,S0258,Healthcare,45,2024-05-05 10:09:25,5,Treatment Outcomes,"product, these, money"
U043,S0259,Social Science,56,2024-10-06 07:33:58,1,Community Development,"option, culture, sing"
U096,S0260,Information Technology,11,2024-03-14 19:15:10,1,AI Adoption,"successful, accept, receive"
U071,S0261,Healthcare,17,2024-04-30 04:27:16,2,Mental Health,"law, heart, statement"
U123,S0262,Social Science,51,2024-05-29 15:27:09,1,Social Behavior,"build, party, recognize"
U187,S0263,Environment,46,2024-03-07 08:12:49,1,Sustainability Practices,"seem, fund, relationship"
U239,S0264,Environment,52,2024-11-23 14:00:01,3,Waste Management,"something, now, deal"
U125,S0265,Social Science,24,2024-01-07 22:01:14,5,Public Opinion,"partner, star, someone"
U298,S0266,Education,11,2024-04-25 11:26:58,4,Curriculum Effectiveness,"draw, image, amount"
U132,S0267,Automobile,32,2024-10-20 13:10:13,3,Safety Features,"vote, clearly, condition"
U294,S0268,Information Technology,52,2024-08-10 17:57:34,2,Data Science,"seven, think, mission"
U176,S0269,Education,41,2024-03-18 16:57:18,3,Curriculum Effectiveness,"moment, career, born"
U143,S0270,Environment,26,2023-12-19 08:11:08,3,Waste Management,"well, her, continue"
U272,S0271,Education,22,2024-07-29 13:21:52,1,Curriculum Effectiveness,"improve, meet, nearly"
U250,S0272,Business/Marketing,56,2024-10-14 12:59:55,4,Consumer Behavior,"young, under, always"
U287,S0273,Social Science,15,2024-04-08 03:17:12,4,Community Development,"difference, effect, bank"
U253,S0274,Healthcare,60,2024-11-30 10:25:59,2,Mental Health,"parent, long, sport"
U259,S0275,Social Science,57,2024-09-02 09:17:24,1,Social Behavior,"result, reveal, behind"
U254,S0276,Environment,11,2023-12-13 17:20:53,4,Renewable Energy,"which, production, father"
U056,S0277,Automobile,50,2024-12-05 21:48:45,1,Safety Features,"idea, Democrat, analysis"
U200,S0278,Education,40,2024-04-23 02:59:13,5,Learning Methods,"senior, plant, hair"
U066,S0279,Business/Marketing,17,2024-01-13 16:30:06,4,Consumer Behavior,"military, wrong, never"
U195,S0280,Social Science,22,2024-03-24 11:38:21,3,Community Development,"song, work, performance"
U191,S0281,Automobile,29,2024-04-30 02:18:53,3,Electric Vehicle Adoption,"chair, five, anything"
U066,S0282,Education,18,2024-08-11 20:31:38,1,Student Engagement,"product, identify, that"
U018,S0283,Business/Marketing,20,2023-12-26 22:18:41,2,Consumer Behavior,"ask, answer, decide"
U241,S0284,Education,13,2024-03-12 00:53:10,3,Curriculum Effectiveness,"painting, believe, strong"
U161,S0285,Automobile,53,2024-03-09 04:33:02,2,Safety Features,"reflect, process, generation"
U007,S0286,Information Technology,49,2024-08-25 15:17:46,2,Cybersecurity,"exactly, agreement, others"
U256,S0287,Education,49,2024-08-26 18:19:19,3,Learning Methods,"leave, who, figure"
U001,S0288,Education,32,2024-08-26 19:52:23,2,Learning Methods,"better, all, fact"
U052,S0289,Information Technology,27,2024-02-26 01:08:27,1,Machine Learning,"product, positive, night"
U294,S0290,Healthcare,28,2024-05-23 09:25:18,1,Mental Health,"rest, too, decide"
U079,S0291,Information Technology,56,2024-08-11 18:50:49,1,Data Science,"movie, great, same"
U127,S0292,Automobile,54,2024-08-31 18:22:00,2,Safety Features,"mother, represent, point"
U295,S0293,Information Technology,23,2024-11-25 15:43:33,2,AI Adoption,"firm, right, attack"
